name,position,team,GW,total_points,goals_scored,assists,goals_conceded,saves,ict_index,minutes,transfers_in,value,was_home,fix_difficulty,selected
Aaron Cresswell,DEF,West Ham,10,2,0,0,1,0,3.1,84,931,42,1,3.0,32724
Aaron Cresswell,DEF,West Ham,16,-1,0,0,3,0,0.7,45,859,42,0,2.0,35153
Aaron Cresswell,DEF,West Ham,28,1,0,0,2,0,5.8,90,394,42,1,3.0,31564
Aaron Cresswell,DEF,West Ham,32,1,0,0,0,0,0.8,36,282,42,0,2.0,32818
Aaron Cresswell,DEF,West Ham,34,1,0,0,1,0,0.5,45,505,42,0,2.0,32725
Aaron Cresswell,DEF,West Ham,38,1,0,0,3,0,2.3,90,370,42,0,2.0,32337
Aaron Hickey,DEF,Brentford,1,0,0,0,2,0,2.6,71,0,45,1,2.0,26398
Aaron Hickey,DEF,Brentford,2,5,0,0,0,0,0.2,77,1516,45,0,2.0,28443
Aaron Hickey,DEF,Brentford,3,2,0,0,1,0,1.8,90,2541,45,1,2.0,30986
Aaron Hickey,DEF,Brentford,4,1,0,0,2,0,1.8,81,2106,45,1,2.0,32460
Aaron Hickey,DEF,Brentford,5,1,0,0,1,0,3.2,81,1167,45,0,2.0,31643
Aaron Hickey,DEF,Brentford,6,1,0,0,3,0,0.6,72,9968,45,1,2.0,40715
Aaron Hickey,DEF,Brentford,7,1,0,0,1,0,0.7,68,2017,45,0,2.0,37736
Aaron Hickey,DEF,Brentford,8,0,0,0,2,0,0.0,90,1064,45,0,2.0,35402
Aaron Hickey,DEF,Brentford,10,6,0,0,0,0,2.0,83,569,45,0,2.0,27521
Aaron Ramsdale,GK,Arsenal,1,2,0,0,1,1,1.3,90,0,50,1,5.0,1510016
Aaron Ramsdale,GK,Arsenal,2,6,0,0,0,2,1.5,90,45504,50,0,5.0,1625661
Aaron Ramsdale,GK,Arsenal,3,1,0,0,2,1,1.2,90,53491,50,1,5.0,1657162
Aaron Ramsdale,GK,Arsenal,4,2,0,0,1,1,1.1,90,26035,50,1,5.0,1577658
Aaron Ramsdale,GK,Arsenal,13,6,0,0,0,1,0.5,90,23633,47,0,5.0,789227
Aaron Ramsdale,GK,Arsenal,28,3,0,0,1,3,1.7,90,11280,45,1,5.0,619287
Aaron Ramsey,MID,Burnley,6,2,0,0,1,0,4.6,72,516,50,1,2.0,1857
Aaron Ramsey,MID,Burnley,20,1,0,0,1,0,0.1,31,212,50,0,2.0,3885
Aaron Ramsey,MID,Burnley,22,1,0,0,0,0,0.5,31,235,50,0,2.0,4273
Aaron Ramsey,MID,Burnley,23,2,0,0,2,0,3.3,62,143,50,1,2.0,4359
Aaron Ramsey,MID,Burnley,24,2,0,0,3,0,1.6,80,200,50,0,2.0,4457
Aaron Ramsey,MID,Burnley,25,1,0,0,3,0,0.0,62,393,50,1,2.0,4794
Aaron Wan-Bissaka,DEF,Man Utd,1,12,0,1,0,0,8.2,90,0,45,1,4.0,122037
Aaron Wan-Bissaka,DEF,Man Utd,2,1,0,0,1,0,2.0,65,174411,45,0,3.0,382753
Aaron Wan-Bissaka,DEF,Man Utd,3,0,0,0,2,0,2.7,90,188893,46,1,4.0,584869
Aaron Wan-Bissaka,DEF,Man Utd,4,1,0,0,3,0,2.9,90,44922,46,0,3.0,552816
Aaron Wan-Bissaka,DEF,Man Utd,11,8,0,0,0,0,3.1,90,4499,44,0,3.0,200028
Aaron Wan-Bissaka,DEF,Man Utd,14,2,0,0,1,0,1.6,79,4470,44,0,3.0,254606
Aaron Wan-Bissaka,DEF,Man Utd,18,1,0,0,2,0,1.8,90,3116,44,0,3.0,224895
Aaron Wan-Bissaka,DEF,Man Utd,19,1,0,0,2,0,1.7,90,1207,44,1,4.0,221437
Aaron Wan-Bissaka,DEF,Man Utd,20,1,0,0,2,0,4.2,89,3066,44,0,3.0,220328
Aaron Wan-Bissaka,DEF,Man Utd,21,0,0,0,2,0,2.8,90,3447,44,1,4.0,214166
Aaron Wan-Bissaka,DEF,Man Utd,30,1,0,0,1,0,3.2,90,2301,44,0,3.0,177565
Aaron Wan-Bissaka,DEF,Man Utd,31,0,0,0,4,0,2.7,90,1357,44,0,3.0,178461
